Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
323	:	1743673696.071	     4.546	0	14750	10	0	./cadical/cadical data/42462-5-100-0.5-15-True.cnf
122	:	1743673695.211	     5.506	0	9867548	0	0	./albatross/albatross data/50408-5-100-0.5-14-False.cnf
424	:	1743673700.208	     0.684	0	11074	10	0	./cadical/cadical data/65828-5-100-0.5-16-True.cnf
65	:	1743673695.041	     6.151	0	11607787	0	0	./albatross/albatross data/42462-5-100-0.7-17-False.cnf
423	:	1743673699.962	     1.394	0	12154	10	0	./cadical/cadical data/65828-5-100-0.5-15-True.cnf
317	:	1743673696.040	     5.456	0	14799	10	0	./cadical/cadical data/42462-5-100-0.6-14-True.cnf
218	:	1743673695.575	     5.963	0	11492492	0	0	./albatross/albatross data/71681-5-100-0.6-15-False.cnf
433	:	1743673701.557	     0.031	0	6902	10	0	./cadical/cadical data/78144-5-100-0.8-15-True.cnf
190	:	1743673695.448	     6.255	0	9323946	0	0	./albatross/albatross data/78144-5-100-0.7-17-False.cnf
435	:	1743673701.710	     0.024	0	6920	10	0	./cadical/cadical data/78144-5-100-0.8-17-True.cnf
434	:	1743673701.595	     0.158	0	8473	10	0	./cadical/cadical data/78144-5-100-0.8-16-True.cnf
256	:	1743673695.748	     6.163	0	11904	20	0	./cadical/cadical data/53188-5-100-0.8-13-True.cnf
94	:	1743673695.127	     7.119	0	12965200	0	0	./albatross/albatross data/18735-5-100-0.6-16-False.cnf
93	:	1743673695.124	     7.169	0	11318683	0	0	./albatross/albatross data/18735-5-100-0.6-15-False.cnf
439	:	1743673702.255	     0.117	0	8122	10	0	./cadical/cadical data/78144-5-100-0.7-16-True.cnf
421	:	1743673699.786	     2.599	0	9319	20	0	./cadical/cadical data/65828-5-100-0.5-13-True.cnf
440	:	1743673702.302	     0.190	0	8703	10	0	./cadical/cadical data/78144-5-100-0.7-17-True.cnf
240	:	1743673695.674	     7.053	0	9871679	0	0	./albatross/albatross data/81023-5-100-0.7-17-False.cnf
444	:	1743673702.735	     0.035	0	7674	10	0	./cadical/cadical data/78144-5-100-0.6-16-True.cnf
445	:	1743673702.777	     0.023	0	7668	10	0	./cadical/cadical data/78144-5-100-0.6-17-True.cnf
443	:	1743673702.508	     0.343	0	10091	10	0	./cadical/cadical data/78144-5-100-0.6-15-True.cnf
331	:	1743673696.116	     7.005	0	12131	20	0	./cadical/cadical data/18735-5-100-0.8-13-True.cnf
341	:	1743673696.230	     6.966	0	11494	20	0	./cadical/cadical data/18735-5-100-0.6-13-True.cnf
123	:	1743673695.214	     8.341	0	16150792	0	0	./albatross/albatross data/50408-5-100-0.5-15-False.cnf
258	:	1743673695.757	     7.983	0	15412	10	0	./cadical/cadical data/53188-5-100-0.8-15-True.cnf
73	:	1743673695.062	     8.786	0	16074021	0	0	./albatross/albatross data/42462-5-100-0.5-15-False.cnf
450	:	1743673703.562	     0.289	0	10250	10	0	./cadical/cadical data/78144-5-100-0.5-17-True.cnf
346	:	1743673696.481	     7.391	0	11977	20	0	./cadical/cadical data/18735-5-100-0.5-13-True.cnf
383	:	1743673697.530	     6.398	0	14200	10	0	./cadical/cadical data/43018-5-100-0.8-15-True.cnf
455	:	1743673703.935	     0.023	0	6936	10	0	./cadical/cadical data/71681-5-100-0.9-17-True.cnf
454	:	1743673703.890	     0.172	0	8540	10	0	./cadical/cadical data/71681-5-100-0.9-16-True.cnf
296	:	1743673695.940	     8.136	0	12222	20	0	./cadical/cadical data/22710-5-100-0.5-13-True.cnf
326	:	1743673696.088	     8.414	0	13510	20	0	./cadical/cadical data/18735-5-100-0.9-13-True.cnf
397	:	1743673697.922	     6.603	0	15909	10	0	./cadical/cadical data/43018-5-100-0.5-14-True.cnf
460	:	1743673704.533	     0.029	0	7172	10	0	./cadical/cadical data/71681-5-100-0.8-17-True.cnf
459	:	1743673704.509	     0.151	0	8701	10	0	./cadical/cadical data/71681-5-100-0.8-16-True.cnf
462	:	1743673704.672	     0.055	0	7783	10	0	./cadical/cadical data/71681-5-100-0.7-14-True.cnf
47	:	1743673694.989	     9.738	0	11024422	0	0	./albatross/albatross data/22710-5-100-0.5-14-False.cnf
219	:	1743673695.580	     9.154	0	16184936	0	0	./albatross/albatross data/71681-5-100-0.6-16-False.cnf
316	:	1743673696.035	     8.721	0	12663	20	0	./cadical/cadical data/42462-5-100-0.6-13-True.cnf
463	:	1743673704.734	     0.032	0	7281	10	0	./cadical/cadical data/71681-5-100-0.7-15-True.cnf
465	:	1743673704.754	     0.028	0	7357	10	0	./cadical/cadical data/71681-5-100-0.7-17-True.cnf
464	:	1743673704.742	     0.040	0	7322	10	0	./cadical/cadical data/71681-5-100-0.7-16-True.cnf
449	:	1743673703.204	     1.674	0	12067	10	0	./cadical/cadical data/78144-5-100-0.5-16-True.cnf
470	:	1743673704.884	     0.118	0	9002	10	0	./cadical/cadical data/71681-5-100-0.6-17-True.cnf
291	:	1743673695.914	     9.178	0	13169	20	0	./cadical/cadical data/22710-5-100-0.6-13-True.cnf
469	:	1743673704.803	     0.417	0	10513	10	0	./cadical/cadical data/71681-5-100-0.6-16-True.cnf
313	:	1743673696.019	     9.259	0	15882	10	0	./cadical/cadical data/42462-5-100-0.7-15-True.cnf
474	:	1743673705.291	     0.069	0	8616	10	0	./cadical/cadical data/71681-5-100-0.5-16-True.cnf
261	:	1743673695.771	     9.601	0	13113	20	0	./cadical/cadical data/53188-5-100-0.7-13-True.cnf
475	:	1743673705.393	     0.152	0	9878	10	0	./cadical/cadical data/71681-5-100-0.5-17-True.cnf
468	:	1743673704.788	     0.839	0	10882	10	0	./cadical/cadical data/71681-5-100-0.6-15-True.cnf
473	:	1743673705.236	     0.401	0	11001	10	0	./cadical/cadical data/71681-5-100-0.5-15-True.cnf
376	:	1743673697.406	     8.267	0	12365	20	0	./cadical/cadical data/43018-5-100-0.9-13-True.cnf
456	:	1743673703.965	     1.779	0	8933	20	0	./cadical/cadical data/71681-5-100-0.8-13-True.cnf
480	:	1743673705.684	     0.068	0	6901	10	0	./cadical/cadical data/81023-5-100-0.9-17-True.cnf
266	:	1743673695.794	    10.108	0	13010	20	0	./cadical/cadical data/53188-5-100-0.6-13-True.cnf
283	:	1743673695.878	    10.151	0	15327	10	0	./cadical/cadical data/22710-5-100-0.8-15-True.cnf
472	:	1743673705.109	     1.028	0	12419	10	0	./cadical/cadical data/71681-5-100-0.5-14-True.cnf
485	:	1743673706.147	     0.032	0	6930	10	0	./cadical/cadical data/81023-5-100-0.8-17-True.cnf
406	:	1743673698.757	     7.541	0	12666	20	0	./cadical/cadical data/65828-5-100-0.8-13-True.cnf
484	:	1743673706.040	     0.272	0	8850	10	0	./cadical/cadical data/81023-5-100-0.8-16-True.cnf
311	:	1743673696.010	    10.579	0	13415	20	0	./cadical/cadical data/42462-5-100-0.7-13-True.cnf
251	:	1743673695.726	    10.886	0	13263	20	0	./cadical/cadical data/53188-5-100-0.9-13-True.cnf
173	:	1743673695.380	    11.253	0	18683824	0	0	./albatross/albatross data/65828-5-100-0.5-15-False.cnf
489	:	1743673706.659	     0.054	0	7239	10	0	./cadical/cadical data/81023-5-100-0.7-16-True.cnf
461	:	1743673704.569	     2.167	0	12571	10	0	./cadical/cadical data/71681-5-100-0.7-13-True.cnf
490	:	1743673706.684	     0.072	0	7217	10	0	./cadical/cadical data/81023-5-100-0.7-17-True.cnf
494	:	1743673706.835	     0.020	0	7247	10	0	./cadical/cadical data/81023-5-100-0.6-16-True.cnf
401	:	1743673698.376	     8.502	0	12022	20	0	./cadical/cadical data/65828-5-100-0.9-13-True.cnf
488	:	1743673706.378	     0.519	0	9670	10	0	./cadical/cadical data/81023-5-100-0.7-15-True.cnf
495	:	1743673706.924	     0.026	0	7283	10	0	./cadical/cadical data/81023-5-100-0.6-17-True.cnf
286	:	1743673695.891	    11.181	0	13469	20	0	./cadical/cadical data/22710-5-100-0.7-13-True.cnf
499	:	1743673707.100	     0.021	0	7829	10	0	./cadical/cadical data/81023-5-100-0.5-16-True.cnf
498	:	1743673707.011	     0.160	0	9577	10	0	./cadical/cadical data/81023-5-100-0.5-15-True.cnf
22	:	1743673694.920	    12.269	0	19437046	0	0	./albatross/albatross data/53188-5-100-0.5-14-False.cnf
411	:	1743673699.020	     8.193	0	12396	20	0	./cadical/cadical data/65828-5-100-0.7-13-True.cnf
500	:	1743673707.148	     0.088	0	7878	10	0	./cadical/cadical data/81023-5-100-0.5-17-True.cnf
483	:	1743673705.912	     1.381	0	10818	10	0	./cadical/cadical data/81023-5-100-0.8-15-True.cnf
72	:	1743673695.060	    12.311	0	15924104	0	0	./albatross/albatross data/42462-5-100-0.5-14-False.cnf
392	:	1743673697.827	     9.569	0	16443	10	0	./cadical/cadical data/43018-5-100-0.6-14-True.cnf
248	:	1743673695.711	    11.822	0	19565649	0	0	./albatross/albatross data/81023-5-100-0.5-15-False.cnf
493	:	1743673706.809	     1.036	0	10838	10	0	./cadical/cadical data/81023-5-100-0.6-15-True.cnf
508	:	1743673707.565	     0.281	0	3654	10	0	./kissat-sc2024/bin/kissat data/53188-5-100-0.8-15-True.cnf
